"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/b-041-Bohemia after dark.musicxml","Bohemia after dark","ok","F major","blues","20","7.8","1","2","1","2","0","0","1","0","0","0.05","G7 / Bbsus4(7,9,11,13) / Asus4(7,9,11,13) / A13 / F#7alt / Bm7/A / C7 / Bb9","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/b-042-Bolivia.musicxml","Bolivia","ok","Bb major","minor-functional","40","13.3","4","5","3","0","0","0","1","0","0","0.05","C7 / F7alt / F/A / Csus4(7) / F7alt / F7alt / Eb7alt / Eb7alt","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/b-043-Boplicity.musicxml","Boplicity","ok","C minor","minor-functional","52","20.64","3","5","4","7","0","0","0","0","0","0.02","C7 / Db7 / C7 / Gb7 / F7 / Eb7 / G7 / Db7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-046-Both sides of the coin.musicxml","Both sides of the coin","ok","Bb major","major-functional","33","14.18","5","3","5","1","1","0","0","0","1","0.09","G7(#11) / F7(#11) / Csus4(7) / C7 / F7 / Gm7/F / A7(b9) / Db°","cadencias ii-V detectadas; dominantes aplicadas recorrentes; cor de tonica 6/6-9"
"imported-real-book/b-050-Bud Powell.musicxml","Bud Powell","ok","C minor","minor-functional","10","2.8","0","2","1","0","0","0","0","0","0","0","Bb7 / Eb7 / Bb7 / F7 / Bb7 / G7 / F7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/b-052-Bud's blues.musicxml","Bud's blues","ok","G major","blues","40","13","3","6","2","0","1","0","1","0","1","0.05","E7(b9) / F#7(b9) / Esus4(7) / E7 / A9 / D13 / C° / Dsus4(7,9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/b-053-But beautyful.musicxml","But beautyful","ok","Bb major","blues","9","2.9","1","1","1","0","0","0","0","0","0","0","Bb7 / Eb7 / Bb7 / F7 / F7(#9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/b-054-Buzzy.musicxml","Buzzy","ok","F major","blues","49","18.6","3","6","5","3","1","0","1","0","1","0","C7 / Csus4(7,9) / C7 / Ab° / D7(b9) / C7 / D7(b9) / D7(#5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/c-002-Cantaloupe island.musicxml","Cantaloupe island","ok","F minor","minor-functional","20","13","0","6","2","4","0","0","0","0","0","0","C7(b9) / Db7 / C7 / C7(b9) / Db7 / C7 / Fm6 / Bb13","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-003-Caravan.musicxml","Caravan","ok","F major","blues","23","9.48","3","2","4","0","2","1","0","0","0","0.04","C7 / C7 / F7 / F#° / C7 / F7 / F7(#5)/A / Db7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: blues"
"imported-real-book/c-004-Careless love.musicxml","Careless love","ok","F minor","major-functional","6","0","0","0","0","0","0","0","0","0","0","0","","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"imported-real-book/c-005-Cariba.musicxml","Cariba","ok","D minor","minor-functional","21","5.86","0","0","0","4","0","0","0","0","0","0.33","Eb9 / Eb9 / D9 / C13sus4 / B13sus4 / C13sus4 / C13 / B13sus4","leitura harmonica inferida: minor-functional"
"imported-real-book/c-006-Casa forte.musicxml","Casa forte","ok","D minor","minor-functional","30","5.2","1","2","3","0","0","0","0","0","0","0","G7 / G7 / G7 / A7(#9) / D7(b9) / C7 / F7 / A7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-008-Cedar's blues.musicxml","Cedar's blues","ok","Bb major","major-functional","33","13.06","0","4","2","4","0","0","2","0","0","0.03","B7 / B7 / B7 / Ab7 / B7 / F7 / D7 / G7","dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/c-009-Celia.musicxml","Celia","ok","B major","major-functional","76","45.78","17","12","9","0","0","0","6","0","0","0.09","F#7 / A7 / Eb7 / C7 / F#7 / A7 / F#7 / C#m/B","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/c-010-Central park west.musicxml","Central park west","ok","Ab major","major-functional","33","11.6","4","4","4","0","0","0","0","0","0","0","Eb7(b9) / Ab13 / G13 / F7alt / Eb9 / F9 / G9 / F7(#5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/c-012-A certain smile.musicxml","A certain smile","ok","B minor","major-functional","9","0","0","0","0","0","0","0","0","0","0","0","Eb7 / Eb7 / Eb7 / Eb7 / Eb7","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"imported-real-book/c-013-Chameleon.musicxml","Chameleon","ok","C major","minor-functional","73","38","7","9","7","4","7","7","0","0","4","0.15","C#° / G7 / C#° / G7 / D#° / Bb7(#11) / A7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/c-015-Chega de saudade.musicxml","Chega de saudade","ok","Bb major","minor-functional","69","31.7","7","15","3","0","1","0","2","0","7","0","F° / E9 / Gm6 / A7 / E7 / F#7 / D7 / B13","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/c-017-Cherokee.musicxml","Cherokee","ok","C major","minor-functional","15","2.9","1","0","1","0","0","0","1","0","0","0","C7 / F7 / A7 / Bb7 / G7","cadencias ii-V detectadas; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/c-018-Cheryl.musicxml","Cheryl","ok","G minor","minor-functional","26","9.4","4","2","4","0","0","0","0","0","0","0","Bb7 / D7 / D7 / D7 / D7(b9) / Bb7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-020-Chick's tune.musicxml","Chick's tune","ok","F major","major-functional","6","3.14","0","0","1","0","0","0","2","0","0","0.17","C13 / F/Gb / C13","mistura modal funcional"
"imported-real-book/c-021-Chief Crazy Horse.musicxml","Chief Crazy Horse","ok","D minor","minor-functional","44","16.6","3","9","3","1","0","0","0","0","0","0","A7 / G7 / C7 / F7 / C7(b9) / C7 / Fm6 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/c-022-Come rain or come shine.musicxml","Come rain or come shine","ok","Bb major","blues","36","16.82","2","9","2","1","2","0","1","0","2","0.06","F7 / F7 / Gb7 / D7(#5) / G9 / F9 / Eb6/Bb / Bb°","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
